home,score,away,result,home_score,away_score,goal_goal,over_1,over_2,over_3,over_4,home_odd,draw_odd,away_odd
LIV,2-0,EVE,3,2,0,0,1,0,0,0,2.24,3.08,3.58
TOT,1-1,SWA,1,1,1,1,1,0,0,0,1.46,4.38,7.18
STC,1-1,BOU,1,1,1,1,1,0,0,0,1.56,4.05,6.24
CHE,0-0,WAT,1,0,0,0,0,0,0,0,1.85,3.47,4.51
MNC,4-1,NWC,3,4,1,1,1,1,1,1,5.84,3.74,1.63
LEI,3-0,BUR,3,3,0,0,1,1,0,0,2.44,3.24,3.02
HUD,3-1,SOU,3,3,1,1,1,1,1,0,1.56,4.05,6.24
MNU,1-1,WBA,1,1,1,1,1,0,0,0,4.88,3.34,1.83
WHU,1-3,ARS,0,1,3,1,1,1,1,0,1.78,3.33,5.32
BRI,1-2,CRY,0,1,2,1,1,1,0,0,2.29,3.02,3.53
EVE,4-0,WHU,3,4,0,0,1,1,1,0,3.00,3.17,2.49
ARS,0-0,HUD,1,0,0,0,0,0,0,0,1.37,4.87,8.61
SOU,2-0,TOT,3,2,0,0,1,0,0,0,2.06,3.22,3.95
BOU,0-0,LEI,1,0,0,0,0,0,0,0,1.56,4.05,6.24
CRY,1-3,LIV,0,1,3,1,1,1,1,0,1.66,3.64,5.82
WAT,0-0,STC,1,0,0,0,0,0,0,0,2.31,2.98,3.56
SWA,1-2,CHE,0,1,2,1,1,1,0,0,4.88,3.34,1.83
WBA,3-0,BRI,3,3,0,0,1,1,0,0,2.44,3.24,3.02
NWC,0-2,MNU,0,0,2,0,1,0,0,0,1.37,4.87,8.61
BUR,1-1,MNC,1,1,1,1,1,0,0,0,3.02,3.24,2.44
HUD,0-1,EVE,0,0,1,0,0,0,0,0,1.47,4.37,7.20
MNC,2-2,BOU,1,2,2,1,1,1,1,0,5.84,3.74,1.63
WHU,1-1,CRY,1,1,1,1,1,0,0,0,1.97,3.26,4.27
TOT,0-0,ARS,1,0,0,0,0,0,0,0,2.25,3.05,3.60
SOU,1-1,SWA,1,1,1,1,1,0,0,0,1.56,4.05,6.24
MNU,1-1,BUR,1,1,1,1,1,0,0,0,2.58,3.19,2.86
STC,0-2,CHE,0,0,2,0,1,0,0,0,3.09,3.23,2.40
BRI,2-0,NWC,3,2,0,0,1,0,0,0,1.96,3.29,4.25
LEI,0-0,WAT,1,0,0,0,0,0,0,0,2.31,2.98,3.56
LIV,2-0,WBA,3,2,0,0,1,0,0,0,4.39,3.33,1.92
CHE,4-0,LEI,3,4,0,0,1,1,1,0,3.09,3.23,2.40
CRY,1-2,HUD,0,1,2,1,1,1,0,0,2.44,3.24,3.02
BOU,0-0,MNU,1,0,0,0,0,0,0,0,1.37,4.87,8.61
EVE,1-2,TOT,0,1,2,1,1,1,0,0,2.48,3.20,2.99
ARS,2-0,SOU,3,2,0,0,1,0,0,0,1.85,3.47,4.51
WAT,1-0,MNC,3,1,0,0,0,0,0,0,1.57,3.92,6.28
BUR,2-0,BRI,3,2,0,0,1,0,0,0,3.04,3.21,2.44
SWA,2-2,STC,1,2,2,1,1,1,1,0,3.55,2.99,2.31
WBA,1-2,WHU,0,1,2,1,1,1,0,0,3.02,3.19,2.46
NWC,2-3,LIV,0,2,3,1,1,1,1,1,4.39,3.33,1.92
LEI,1-0,STC,3,1,0,0,0,0,0,0,2.31,2.98,3.56
TOT,0-0,CRY,1,0,0,0,0,0,0,0,3.54,3.00,2.30
LIV,2-2,BUR,1,2,2,1,1,1,1,0,2.48,3.20,2.99
HUD,1-2,WBA,0,1,2,1,1,1,0,0,2.24,3.07,3.59
MNU,4-1,WAT,3,4,1,1,1,1,1,1,3.09,3.23,2.40
BRI,4-1,BOU,3,4,1,1,1,1,1,1,1.96,3.29,4.25
SOU,1-0,EVE,3,1,0,0,0,0,0,0,2.16,3.10,3.80
ARS,3-1,SWA,3,3,1,1,1,1,1,0,4.88,3.34,1.83
WHU,2-0,NWC,3,2,0,0,1,0,0,0,3.02,3.19,2.46
MNC,2-0,CHE,3,2,0,0,1,0,0,0,2.58,3.20,2.86
SWA,1-3,LEI,0,1,3,1,1,1,1,0,1.56,4.05,6.24
CRY,1-0,SOU,3,1,0,0,0,0,0,0,2.88,3.15,2.60
WAT,2-1,BRI,3,2,1,1,1,1,0,0,1.77,3.43,5.16
EVE,2-3,ARS,0,2,3,1,1,1,1,1,2.06,3.22,3.95
BOU,3-3,LIV,1,3,3,1,1,1,1,1,4.39,3.33,1.92
BUR,2-0,WHU,3,2,0,0,1,0,0,0,1.86,3.42,4.52
NWC,1-4,HUD,0,1,4,1,1,1,1,1,2.24,3.07,3.59
CHE,2-2,MNU,1,2,2,1,1,1,1,0,2.43,3.24,3.02
WBA,0-2,TOT,0,0,2,0,1,0,0,0,4.39,3.33,1.92
STC,1-3,MNC,0,1,3,1,1,1,1,0,3.71,3.08,2.20
LIV,1-0,WAT,3,1,0,0,0,0,0,0,2.89,3.24,2.53
ARS,3-0,CRY,3,3,0,0,1,1,0,0,1.57,3.96,6.26
BRI,0-1,CHE,0,0,1,0,0,0,0,0,3.93,3.24,2.05
TOT,2-1,NWC,3,2,1,1,1,1,0,0,1.46,4.38,7.18
MNC,1-1,LEI,1,1,1,1,1,0,0,0,3.71,3.08,2.20
SOU,2-0,WBA,3,2,0,0,1,0,0,0,1.56,4.05,6.24
WHU,1-2,BOU,0,1,2,1,1,1,0,0,3.02,3.19,2.46
EVE,1-0,SWA,3,1,0,0,0,0,0,0,1.47,4.37,7.20
MNU,0-1,STC,0,0,1,0,0,0,0,0,1.85,3.47,4.51
HUD,0-0,BUR,1,0,0,0,0,0,0,0,3.85,3.17,2.11
SWA,2-3,MNC,0,2,3,1,1,1,1,1,5.84,3.74,1.63
STC,2-1,BRI,3,2,1,1,1,1,0,0,2.88,3.15,2.60
LEI,0-2,MNU,0,0,2,0,1,0,0,0,1.85,3.47,4.51
WAT,1-1,WHU,1,1,1,1,1,0,0,0,1.95,3.32,4.25
CRY,1-2,EVE,0,1,2,1,1,1,0,0,1.66,3.63,5.82
BUR,1-1,TOT,1,1,1,1,1,0,0,0,2.24,3.08,3.58
NWC,2-3,SOU,0,2,3,1,1,1,1,1,1.56,4.05,6
BOU,2-1,HUD,3,2,1,1,1,1,0,0,2.24,3.07,3.59
CHE,1-1,LIV,1,1,1,1,1,0,0,0,2.25,3.05,3.60
WBA,1-1,ARS,1,1,1,1,1,0,0,0,4.88,3.34,1.83
HUD,4-2,WAT,3,4,2,1,1,1,1,1,1.56,4.05,6.24
MNU,1-4,MNC,0,1,4,1,1,1,1,1,2.13,3.19,3.75
CRY,2-1,SWA,3,2,1,1,1,1,0,0,1.96,3.29,4.25
ARS,3-0,NWC,3,3,0,0,1,1,0,0,4.88,3.34,1.83
BRI,1-1,LEI,1,1,1,1,1,0,0,0,2.88,3.15,2.60
SOU,1-2,BUR,0,1,2,1,1,1,0,0,2.44,3.24,3.02
EVE,2-0,WBA,3,2,0,0,1,0,0,0,3.85,3.17,2.11
LIV,1-2,STC,0,1,2,1,1,1,0,0,2.06,3.22,3.95
WHU,1-5,CHE,0,1,5,1,1,1,1,1,1.78,3.33,5.32
TOT,3-0,BOU,3,3,0,0,1,1,0,0,1.46,4.38,7.18
BUR,2-1,ARS,3,2,1,1,1,1,0,0,2.58,3.19,2.86
LEI,2-1,LIV,3,2,1,1,1,1,0,0,2.06,3.22,3.95
BOU,3-2,SOU,3,3,2,1,1,1,1,1,1.56,4.05,6.24
STC,4-2,WHU,3,4,2,1,1,1,1,1,1.95,3.32,4.25
NWC,0-0,EVE,1,0,0,0,0,0,0,0,1.47,4.37,7.20
SWA,1-0,MNU,3,1,0,0,0,0,0,0,1.37,4.87,8.61
WBA,0-1,CRY,0,0,1,0,0,0,0,0,2.44,3.24,3.02
CHE,0-0,HUD,1,0,0,0,0,0,0,0,4.88,3.34,1.83
WAT,2-1,TOT,3,2,1,1,1,1,0,0,2.89,3.34,1.83
MNC,2-1,BRI,3,2,1,1,1,1,0,0,4.53,3.42,1.86
BRI,2-2,MNU,1,2,2,1,1,1,1,0,1.57,3.96,6.26
EVE,2-0,BUR,3,2,0,0,1,0,0,0,2.39,3.20,3.14
SOU,3-0,WAT,3,3,0,0,1,1,0,0,2.31,2.98,3.56
ARS,0-0,BOU,1,0,0,0,0,0,0,0,4.88,3.34,1.83
LIV,1-4,MNC,0,1,4,1,1,1,1,1,1.85,3.47,4.51
WBA,2-0,SWA,3,2,0,0,1,0,0,0,2.24,3.07,3.59
TOT,1-1,CHE,1,1,1,1,1,0,0,0,2.59,3.17,2.87
CRY,0-0,NWC,1,0,0,0,0,0,0,0,1.96,3.29,4.52
HUD,1-1,STC,1,1,1,1,1,0,0,0,1.56,4.05,6.24
WHU,0-3,LEI,0,0,3,0,1,1,0,0,2.44,3.21,3.04
NWC,0-0,WBA,1,0,0,0,0,0,0,0,2.24,3.07,3.59
MNC,1-1,WHU,1,1,1,1,1,0,0,0,1.44,4.42,7.71
WAT,1-1,ARS,1,1,1,1,1,0,0,0,3.09,3.23,2.40
CHE,1-1,SOU,1,1,1,1,1,0,0,0,3.09,3.23,2.40
BOU,0-4,EVE,0,0,4,0,1,1,1,0,3.85,3.17,2.11
STC,3-0,TOT,3,3,0,0,1,1,0,0,2.06,3.22,3.95
MNU,0-0,LIV,1,0,0,0,0,0,0,0,2.59,3.17,2.87
LEI,2-2,HUD,1,2,2,1,1,1,1,0,1.56,4.05,6.24
BUR,3-0,CRY,3,3,0,0,1,1,0,0,1.66,3.63,5.82
SWA,0-3,BRI,0,0,3,0,1,1,0,0,1.96,3.29,4.25
LIV,3-2,BRI,3,3,2,1,1,1,1,1,1.66,3.64,5.82
NWC,4-0,SWA,3,4,0,0,1,1,1,0,2.24,3.07,3.59
WHU,0-1,MNU,0,0,1,0,0,0,0,0,3.71,3.08,2.19
CRY,1-0,BOU,3,1,0,0,0,0,0,0,1.96,3.29,4.25
SOU,2-2,STC,1,2,2,1,1,1,1,0,2.31,2.98,3.56
WBA,1-2,BUR,0,1,2,1,1,1,0,0,1.47,4.37,7.20
EVE,5-1,WAT,3,5,1,1,1,1,1,1,2.44,3.24,3.02
HUD,1-1,MNC,1,1,1,1,1,0,0,0,5.84,3.74,1.63
TOT,3-1,LEI,3,3,1,1,1,1,1,0,2.06,3.22,3.95
ARS,1-1,CHE,1,1,1,1,1,0,0,0,2.43,3.24,3.02
BOU,1-1,WBA,1,1,1,1,1,0,0,0,2.24,3.07,3.59
STC,0-3,ARS,0,0,3,0,1,1,0,0,3.09,3.23,2.40
CHE,1-1,EVE,1,1,1,1,1,0,0,0,2.06,3.22,3.95
LEI,0-0,SOU,1,0,0,0,0,0,0,0,2.31,2.98,3.56
MNC,2-0,TOT,3,2,0,0,1,0,0,0,1.85,3.47,4.51
WAT,1-0,CRY,3,1,0,0,0,0,0,0,1.77,3.43,5.16
SWA,0-1,LIV,0,0,1,0,0,0,0,0,1.46,4.38,7.18
BRI,2-2,WHU,1,2,2,1,1,1,1,0,1.97,3.26,4.27
MNU,3-2,HUD,3,3,2,1,1,1,1,1,4.88,3.34,1.83
BUR,3-1,NWC,3,3,1,1,1,1,1,0,3.85,3.17,2.11
TOT,1-0,MNU,3,1,0,0,0,0,0,0,2.25,3.05,3.60
ARS,4-0,LEI,3,4,0,0,1,1,1,0,1.85,3.47,4.51
SOU,2-3,MNC,0,2,3,1,1,1,1,1,3.71,3.08,2.20
HUD,0-2,BRI,0,0,2,0,1,0,0,0,2.44,3.24,3.02
NWC,2-2,BOU,1,2,2,1,1,1,1,0,2.24,3.07,3.59
CRY,0-3,CHE,0,0,3,0,1,1,0,0,1.57,3.96,6.26
EVE,1-0,STC,3,1,0,0,0,0,0,0,2.16,3.10,3.80
BUR,1-1,SWA,1,1,1,1,1,0,0,0,3.85,3.17,2.11
WBA,0-2,WAT,0,0,2,0,1,0,0,0,3.55,2.99,2.31
WHU,2-2,LIV,1,2,2,1,1,1,1,0,3.20,3.19,2.36
MNC,1-1,ARS,1,1,1,1,1,0,0,0,2.13,3.19,3.75
LIV,2-0,HUD,3,2,0,0,1,0,0,0,1.46,4.38,7.18
LEI,1-2,EVE,0,1,2,1,1,1,0,0,2.16,3.10,3.80
BRI,1-3,TOT,0,1,3,1,1,1,1,0,1.66,3.64,5.82
CHE,0-1,WBA,0,0,1,0,0,0,0,0,1.37,4.87,8.61
WAT,0-0,NWC,1,0,0,0,0,0,0,0,3.55,2.99,2.31
SWA,3-2,WHU,3,3,2,1,1,1,1,1,1.77,3.44,5.16
BOU,1-1,BUR,1,1,1,1,1,0,0,0,3.85,3.17,2.11
MNU,0-0,SOU,1,0,0,0,0,0,0,0,1.85,3.47,4.51
STC,1-0,CRY,3,1,0,0,0,0,0,0,2.88,3.15,2.60
BUR,2-1,WAT,3,2,1,1,1,1,0,0,2.16,3.10,3.80
TOT,4-2,LIV,3,4,2,1,1,1,1,1,2.43,3.24,3.02
EVE,0-3,MNC,0,0,3,0,1,1,0,0,1.70,3.60,5.38
WBA,1-3,STC,0,1,3,1,1,1,1,0,1.56,4.05,6.24
CRY,0-1,LEI,0,0,1,0,0,0,0,0,2.88,3.15,2.60
BOU,1-0,SWA,3,1,0,0,0,0,0,0,2.24,3.07,3.59
ARS,3-0,MNU,3,3,0,0,1,1,0,0,2.43,3.24,3.02
SOU,2-1,BRI,3,2,1,1,1,1,0,0,2.88,3.15,2.60
NWC,1-1,CHE,1,1,1,1,1,0,0,0,4.88,3.34,1.83
HUD,1-0,WHU,3,1,0,0,0,0,0,0,1.77,3.44,5.16
BRI,1-1,ARS,1,1,1,1,1,0,0,0,1.57,3.96,6.26
SWA,2-1,HUD,3,2,1,1,1,1,0,0,2.24,3.07,3.59
WHU,0-1,TOT,0,0,1,0,0,0,0,0,3.20,3.19,2.36
MNC,0-1,CRY,0,0,1,0,0,0,0,0,1.33,5.20,9.52
LEI,1-1,WBA,1,1,1,1,1,0,0,0,1.56,4.05,6.24
CHE,2-2,BUR,1,2,2,1,1,1,1,0,2.06,3.22,3.95
STC,1-1,NWC,1,1,1,1,1,0,0,0,1.56,4.05,6.24
MNU,3-3,EVE,1,3,3,1,1,1,1,1,2.58,3.19,2.86
WAT,3-0,BOU,3,3,0,0,1,1,0,0,3.55,2.99,2.31
LIV,3-0,SOU,3,3,0,0,1,1,0,0,2.06,3.22,3.95
HUD,2-4,NWC,0,2,4,1,1,1,1,1,2.24,3.07,3.59
STC,1-1,BRI,1,1,1,1,1,0,0,0,2.88,3.15,2.60
MNC,0-0,CRY,1,0,0,0,0,0,0,0,1.33,5.20,9.52
WHU,1-0,LEI,3,1,0,0,0,0,0,0,2.44,3.21,3.04
EVE,2-2,BUR,1,2,2,1,1,1,1,0,2.39,3.20,3.14
CHE,1-2,WBA,0,1,2,1,1,1,0,0,1.37,4.87,8.61
LIV,2-0,ARS,3,2,0,0,1,0,0,0,2.25,3.05,3.60
MNU,0-0,BOU,1,0,0,0,0,0,0,0,1.37,4.87,8.61
SWA,1-0,SOU,3,1,0,0,0,0,0,0,1.56,4.05,6.24
WAT,2-3,TOT,0,2,3,1,1,1,1,1,2.89,3.34,1.83
ARS,1-1,WHU,1,1,1,1,1,0,0,0,1.78,3.33,5.32
LEI,0-1,WAT,0,0,1,0,0,0,0,0,2.31,2.98,3.56
BOU,3-0,HUD,3,3,0,0,1,1,0,0,2.24,3.07,3.59
CHE,3-0,EVE,3,3,0,0,1,1,0,0,2.06,3.22,3.95
BUR,2-1,MNU,3,2,1,1,1,1,0,0,2.58,3.19,2.86
TOT,2-1,MNC,3,2,1,1,1,1,0,0,1.85,3.47,4.51
WBA,0-0,BRI,1,0,0,0,0,0,0,0,2.44,3.24,3.02
NWC,1-1,LIV,1,1,1,1,1,0,0,0,4.39,3.33,1.92
CRY,6-0,SWA,3,6,0,0,1,1,1,1,1.96,3.29,4.25
SOU,1-1,STC,1,1,1,1,1,0,0,0,2.31,2.98,3.56
SWA,4-0,TOT,3,4,0,0,1,1,1,0,1.46,4.38,7.18
HUD,0-2,BUR,0,0,2,0,1,0,0,0,3.85,3.17,2.11
LIV,1-1,BOU,1,1,1,1,1,0,0,0,4.39,3.33,1.92
MNU,0-2,CHE,0,0,2,0,1,0,0,0,2.43,3.24,3.02
EVE,1-1,WBA,1,1,1,1,1,0,0,0,3.85,3.17,2.11
WHU,1-0,NWC,3,1,0,0,0,0,0,0,3.02,3.19,2.46
BRI,1-3,SOU,0,1,3,1,1,1,1,0,2.88,3.15,2.60
STC,0-1,CRY,0,0,1,0,0,0,0,0,2.88,3.15,2.60
MNC,1-0,LEI,3,1,0,0,0,0,0,0,3.71,3.08,2.20
WAT,3-0,ARS,3,3,0,0,1,1,0,0,3.09,3.23,2.40
BUR,0-3,LIV,0,0,3,0,1,1,0,0,2.48,3.20,2.99
BOU,0-3,WHU,0,0,3,0,1,1,0,0,3.02,3.19,2.46
TOT,1-3,STC,0,1,3,1,1,1,1,0,2.06,3.22,3.95
LEI,0-1,SWA,0,0,1,0,0,0,0,0,1.56,4.05,6.24
ARS,2-3,MNC,0,2,3,1,1,1,1,1,2.13,3.19,3.75
NWC,1-1,WAT,1,1,1,1,1,0,0,0,3.55,2.99,2.31
CRY,2-2,BRI,1,2,2,1,1,1,1,0,2.29,3.02,3.53
WBA,0-0,SOU,1,0,0,0,0,0,0,0,1.56,4.05,6.24
EVE,1-3,MNU,0,1,3,1,1,1,1,0,2.58,3.19,2.86
CHE,5-1,HUD,3,5,1,1,1,1,1,1,4.88,3.34,1.83
MNU,4-1,WBA,3,4,1,1,1,1,1,1,4.88,3.34,1.83
SWA,1-2,ARS,0,1,2,1,1,1,0,0,4.88,3.34,1.83
HUD,2-1,EVE,3,2,1,1,1,1,0,0,1.47,4.37,7.20
SOU,1-1,CRY,1,1,1,1,1,0,0,0,2.88,3.15,2.60
WAT,5-0,BOU,3,5,0,0,1,1,1,1,3.55,2.99,2.31
STC,2-2,LEI,1,2,2,1,1,1,1,0,2.31,2.98,3.56
LIV,3-2,CHE,3,3,2,1,1,1,1,1,2.25,3.05,3.60
BRI,3-2,TOT,3,3,2,1,1,1,1,1,1.66,3.64,5.82
WHU,1-3,BUR,0,1,3,1,1,1,1,0,1.86,3.42,4.52
MNC,6-0,NWC,3,6,0,0,1,1,1,1,5.84,3.74,1.63
ARS,2-0,STC,3,2,0,0,1,0,0,0,3.09,3.23,2.40
BUR,4-1,WAT,3,4,1,1,1,1,1,1,2.16,3.10,3.80
MNU,5-1,HUD,3,5,1,1,1,1,1,1,4.88,3.34,1.83
TOT,1-2,SOU,0,1,2,1,1,1,0,0,2.06,3.22,3.95
BOU,2-0,MNC,3,2,0,0,1,0,0,0,5.84,3.74,1.63
CHE,1-2,WHU,0,1,2,1,1,1,0,0,1.78,3.33,5.32
LEI,1-1,BRI,1,1,1,1,1,0,0,0,2.88,3.15,2.60
EVE,0-0,LIV,1,0,0,0,0,0,0,0,2.24,3.08,3.58
NWC,0-3,SWA,0,0,3,0,1,1,0,0,2.24,3.07,3.59
WBA,3-2,CRY,3,3,2,1,1,1,1,1,2.44,3.24,3.02
WHU,1-3,EVE,0,1,3,1,1,1,1,0,3.00,3.17,2.49
MNC,0-2,BUR,0,0,2,0,1,0,0,0,3.02,3.24,2.44
STC,2-1,NWC,3,2,1,1,1,1,0,0,1.56,4.05,6.24
BRI,3-3,ARS,1,3,3,1,1,1,1,1,1.57,3.96,6.26
SOU,3-1,LEI,3,3,1,1,1,1,1,0,2.31,2.98,3.56
HUD,1-2,WBA,0,1,2,1,1,1,0,0,2.24,3.07,3.59
SWA,0-2,BOU,0,0,2,0,1,0,0,0,2.24,3.07,3.59
LIV,2-0,MNU,3,2,0,0,1,0,0,0,2.59,3.17,2.87
CRY,2-3,TOT,0,2,3,1,1,1,1,1,3.54,3.00,2.30
WAT,2-2,CHE,1,2,2,1,1,1,1,0,1.85,3.47,4.51
NWC,1-1,BRI,1,1,1,1,1,0,0,0,1.96,3.29,4.25
BUR,2-1,SWA,3,2,1,1,1,1,0,0,3.85,3.17,2.11
LEI,0-2,CRY,0,0,2,0,1,0,0,0,2.88,3.15,2.60
EVE,1-3,WAT,0,1,3,1,1,1,1,0,2.44,3.24,3.02
HUD,0-2,LIV,0,0,2,0,1,0,0,0,1.46,4.38,7.18
CHE,4-2,MNC,3,4,2,1,1,1,1,1,2.58,3.20,2.86
ARS,2-3,SOU,0,2,3,1,1,1,1,1,1.85,3.47,4.51
MNU,3-1,WHU,3,3,1,1,1,1,1,0,3.71,3.08,2.19
WBA,3-1,TOT,3,3,1,1,1,1,1,0,4.39,3.33,1.92
BOU,2-1,STC,3,2,1,1,1,1,0,0,1.56,4.05,6.24
LIV,2-0,WBA,3,2,0,0,1,0,0,0,4.39,3.33,1.92
STC,1-1,BUR,1,1,1,1,1,0,0,0,2.44,3.24,3.02
BRI,0-1,BOU,0,0,1,0,0,0,0,0,1.96,3.29,4.25
WAT,2-1,MNU,3,2,1,1,1,1,0,0,3.09,3.23,2.40
SWA,0-0,CHE,1,0,0,0,0,0,0,0,4.88,3.34,1.83
TOT,0-0,LEI,1,0,0,0,0,0,0,0,2.06,3.22,3.95
CRY,1-3,ARS,0,1,3,1,1,1,1,0,1.57,3.96,6.26
WHU,1-1,HUD,1,1,1,1,1,0,0,0,1.77,3.44,5.16
SOU,2-1,NWC,3,2,1,1,1,1,0,0,1.56,4.05,6
MNC,5-0,EVE,3,5,0,0,1,1,1,1,1.70,3.60,5.38
HUD,0-0,WAT,1,0,0,0,0,0,0,0,1.56,4.05,6.24
LIV,2-1,WHU,3,2,1,1,1,1,0,0,3.20,3.19,2.36
MNU,1-1,MNC,1,1,1,1,1,0,0,0,2.13,3.19,3.75
WBA,2-0,LEI,3,2,0,0,1,0,0,0,1.56,4.05,6.24
BOU,0-2,SOU,0,0,2,0,1,0,0,0,1.56,4.05,6.24
NWC,2-2,CRY,1,2,2,1,1,1,1,0,1.96,3.29,4.52
CHE,2-2,STC,1,2,2,1,1,1,1,0,3.09,3.23,2.40
ARS,0-1,TOT,0,0,1,0,0,0,0,0,2.25,3.05,3.60
EVE,0-2,SWA,0,0,2,0,1,0,0,0,1.47,4.37,7.20
BUR,2-0,BRI,3,2,0,0,1,0,0,0,3.04,3.21,2.44
SWA,1-2,MNU,0,1,2,1,1,1,0,0,1.37,4.87,8.61
TOT,0-1,NWC,0,0,1,0,0,0,0,0,1.46,4.38,7.18
STC,2-2,EVE,1,2,2,1,1,1,1,0,2.16,3.10,3.80
LEI,1-1,ARS,1,1,1,1,1,0,0,0,1.85,3.47,4.51
WHU,1-0,WBA,3,1,0,0,0,0,0,0,3.02,3.19,2.46
BRI,0-1,CHE,0,0,1,0,0,0,0,0,3.93,3.24,2.05
SOU,1-2,BUR,0,1,2,1,1,1,0,0,2.44,3.24,3.02
MNC,4-0,HUD,3,4,0,0,1,1,1,0,5.84,3.74,1.63
WAT,1-1,LIV,1,1,1,1,1,0,0,0,2.89,3.24,2.53
CRY,1-1,BOU,1,1,1,1,1,0,0,0,1.96,3.29,4.25
CHE,4-0,SOU,3,4,0,0,1,1,1,0,3.09,3.23,2.40
NWC,0-1,LEI,0,0,1,0,0,0,0,0,1.56,4.05,6.24
EVE,0-0,BRI,1,0,0,0,0,0,0,0,1.66,3.63,5.82
BUR,2-1,CRY,3,2,1,1,1,1,0,0,1.66,3.63,5.82
LIV,1-0,MNC,3,1,0,0,0,0,0,0,1.85,3.47,4.51
WHU,4-1,WAT,3,4,1,1,1,1,1,1,1.95,3.32,4.25
HUD,5-1,SWA,3,5,1,1,1,1,1,1,2.24,3.07,3.59
MNU,2-0,STC,3,2,0,0,1,0,0,0,1.85,3.47,4.51
WBA,1-3,ARS,0,1,3,1,1,1,1,0,4.88,3.34,1.83
BOU,0-2,TOT,0,0,2,0,1,0,0,0,1.46,4.38,7.18
TOT,1-1,BUR,1,1,1,1,1,0,0,0,2.24,3.08,3.58
LEI,3-0,BOU,3,3,0,0,1,1,0,0,1.56,4.05,6.24
MNC,2-1,WHU,3,2,1,1,1,1,0,0,1.44,4.42,7.71
ARS,3-0,NWC,3,3,0,0,1,1,0,0,4.88,3.34,1.83
BRI,0-0,MNU,1,0,0,0,0,0,0,0,1.57,3.96,6.26
SWA,0-2,LIV,0,0,2,0,1,0,0,0,1.46,4.38,7.18
CRY,3-0,CHE,3,3,0,0,1,1,0,0,1.57,3.96,6.26
STC,1-0,HUD,3,1,0,0,0,0,0,0,1.56,4.05,6.24
SOU,0-2,EVE,0,0,2,0,1,0,0,0,2.16,3.10,3.80
WAT,3-3,WBA,1,3,3,1,1,1,1,1,3.55,2.99,2.31
MNU,1-1,SOU,1,1,1,1,1,0,0,0,1.85,3.47,4.51
HUD,3-3,BRI,1,3,3,1,1,1,1,1,2.44,3.24,3.02
EVE,1-1,CRY,1,1,1,1,1,0,0,0,1.66,3.63,5.82
WHU,1-3,SWA,0,1,3,1,1,1,1,0,1.77,3.44,5.16
BOU,1-1,ARS,1,1,1,1,1,0,0,0,4.88,3.34,1.83
WAT,0-1,MNC,0,0,1,0,0,0,0,0,1.57,3.92,6.28
BUR,2-0,LEI,3,2,0,0,1,0,0,0,2.44,3.24,3.02
WBA,3-3,NWC,1,3,3,1,1,1,1,1,2.24,3.07,3.59
CHE,2-3,TOT,0,2,3,1,1,1,1,1,2.59,3.17,2.87
LIV,2-0,STC,3,2,0,0,1,0,0,0,2.06,3.22,3.95
ARS,3-0,BUR,3,3,0,0,1,1,0,0,2.58,3.19,2.86
LEI,2-1,CHE,3,2,1,1,1,1,0,0,3.09,3.23,2.40
NWC,1-1,BOU,1,1,1,1,1,0,0,0,2.24,3.07,3.59
BRI,1-2,LIV,0,1,2,1,1,1,0,0,1.66,3.64,5.82
SWA,2-1,WAT,3,2,1,1,1,1,0,0,3.55,2.99,2.31
CRY,0-0,MNU,1,0,0,0,0,0,0,0,3.93,3.24,2.05
MNC,2-0,WBA,3,2,0,0,1,0,0,0,1.23,6.22,13.1
SOU,1-0,HUD,3,1,0,0,0,0,0,0,1.56,4.05,6.24
STC,4-2,WHU,3,4,2,1,1,1,1,1,1.95,3.32,4.25
TOT,2-3,EVE,0,2,3,1,1,1,1,1,2.48,3.20,2.99
WAT,2-0,STC,3,2,0,0,1,0,0,0,2.31,2.98,3.56
EVE,1-1,LEI,1,1,1,1,1,0,0,0,2.16,3.10,3.80
HUD,0-1,CRY,0,0,1,0,0,0,0,0,2.44,3.24,3.02
MNU,1-2,TOT,0,1,2,1,1,1,0,0,2.25,3.05,3.60
BUR,3-1,NWC,3,3,1,1,1,1,1,0,3.85,3.17,2.11
WBA,3-0,BOU,3,3,0,0,1,1,0,0,2.24,3.07,3.59
CHE,1-2,ARS,0,1,2,1,1,1,0,0,2.43,3.24,3.02
WHU,3-2,BRI,3,3,2,1,1,1,1,1,1.97,3.26,4.27
MNC,3-0,SWA,3,3,0,0,1,1,0,0,5.84,3.74,1.63
LIV,3-1,SOU,3,3,1,1,1,1,1,0,2.06,3.22,3.95
SOU,3-1,WHU,3,3,1,1,1,1,1,0,2.44,3.21,3.04
STC,1-1,MNC,1,1,1,1,1,0,0,0,3.71,3.08,2.20
NWC,2-1,CHE,3,2,1,1,1,1,0,0,4.88,3.34,1.83
CRY,0-3,LIV,0,0,3,0,1,1,0,0,1.66,3.64,5.82
BOU,0-4,BUR,0,0,4,0,1,1,1,0,3.85,3.17,2.11
TOT,0-0,HUD,1,0,0,0,0,0,0,0,4.39,3.33,1.92
BRI,3-3,WAT,1,3,3,1,1,1,1,1,1.77,3.43,5.16
LEI,0-0,MNU,1,0,0,0,0,0,0,0,1.85,3.47,4.51
SWA,2-1,WBA,3,2,1,1,1,1,0,0,2.24,3.07,3.59
